ID,Old ID,Name,Start,Stop,Direction,RAST,Subsystem,Subclass,Class,SuperClass
ACIAD_RS03625,ACIAD0790,,778074,782387,+,Signal transduction histidine kinase CheA (EC 2.7.3.-); HPT domain containing protein,Chemotaxis in Escherichia coli and Bacillus subtilis,,Motility and Chemotaxis,Cellular Processes
ACIAD_RS03630,ACIAD0791,dapE,782417,783550,-,"N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18); Succinyl-diaminopimelate desuccinylase",Diaminopimelate Synthesis ; Lysine DAP biosynthetic pathway,"Lysine, threonine, methionine, and cysteine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives; Amino Acids and Derivatives,Metabolism; Metabolism
ACIAD_RS03635,ACIAD0792,,783669,783812,-,Entericidin A/B family protein,,,,
ACIAD_RS03640,ACIAD0793,,783956,784816,-,,,,,
ACIAD_RS03645,ACIAD0794,,784959,785372,+,Inner membrane protein YbaN,"Heme, hemin uptake and utilization systems in GramPositives",,Iron acquisition and metabolism,Metabolism
ACIAD_RS03650,ACIAD0795,,785365,785868,+,"L,D-transpeptidase",,,,
ACIAD_RS03655,,,786125,786200,,,,,,
ACIAD_RS03660,,,786224,786300,,,,,,
ACIAD_RS03665,,,786348,786424,,,,,,
ACIAD_RS03670,,,786447,786522,,,,,,
ACIAD_RS03675,,,786558,786634,,,,,,
ACIAD_RS03680,,,786732,786807,,,,,,
ACIAD_RS03685,ACIAD0797,,786892,787356,+,,,,,
ACIAD_RS03690,ACIAD0798,,787435,788268,-,Integral membrane protein,,,,
ACIAD_RS03695,ACIAD0799,,788356,791001,-,Uncharacterized protein PA4513,,,,
ACIAD_RS03700,ACIAD0800,,791158,791718,-,putative membrane protein,,,,
ACIAD_RS03705,ACIAD0801,yccS,791811,793985,-,Putative efflux (PET) family inner membrane protein YccS,,,,
ACIAD_RS03710,ACIAD0802,,794135,795346,+,"Multidrug resistance transporter, Bcr/CflA family",Homoprotocatechuate degradative cluster,Metabolism of Aromatic Compounds,Secondary Metabolism,Metabolism
ACIAD_RS03715,ACIAD0803,,795407,796111,-,Nitroreductase; Oxygen-insensitive NAD(P)H nitroreductase,,,,
ACIAD_RS03720,ACIAD0804,gltS,796487,797722,+,Sodium/glutamate symporter,Na-driven 2-hydroxyglutarate pathway; Misc symporters and antiporters,Fermentation; Uni- Sym- and Antiporters,Energy and Precursor Metabolites Generation; Membrane Transport,Energy; Membrane Transport
ACIAD_RS03725,ACIAD0805,,797861,799336,+,Sodium:alanine symporter family protein,,,,
ACIAD_RS03730,ACIAD0806,,799476,800426,+,FIG00613342: Bacterial patatin-like phospholipase domain containing protein; Patatin-like phospholipase family protein,,,,
ACIAD_RS03735,ACIAD0807,,800464,800658,-,hypothetical protein,,,,
ACIAD_RS03740,ACIAD0808,,800801,801361,-,Intracellular protease,,,,
ACIAD_RS03745,ACIAD0809,sbmA,801652,802845,+,SbmA protein,,,,
ACIAD_RS03750,ACIAD0810,,802912,803142,-,hypothetical protein,,,,
ACIAD_RS03755,ACIAD0811,,803286,803804,-,Chromate transport protein ChrA; Chromate transporter,Resistance to chromium compounds,Resistance to antibiotics and toxic compounds,"Stress Response, Defense and Virulence","Stress Response, Defense, Virulence"
ACIAD_RS03760,ACIAD0812,,803807,804376,-,Chromate transport protein ChrA; Chromate transporter,Resistance to chromium compounds,Resistance to antibiotics and toxic compounds,"Stress Response, Defense and Virulence","Stress Response, Defense, Virulence"
ACIAD_RS03765,ACIAD0813,,804477,805400,+,LysR family transcriptional regulator STM3121,,,,
ACIAD_RS03770,ACIAD0814,,805390,806145,-,,,,,
ACIAD_RS03775,ACIAD0815,,806277,807356,+,DUF1176 domain-containing protein,,,,
ACIAD_RS03780,ACIAD0816,,807394,808170,+,hypothetical protein,,,,
ACIAD_RS03785,ACIAD0818,,808377,809435,+,,,,,
ACIAD_RS03790,ACIAD0819,,809629,810078,+,hypothetical protein,,,,
ACIAD_RS03795,ACIAD0820,,810192,810776,+,hypothetical protein,,,,
ACIAD_RS03800,ACIAD0821,,810855,811034,+,hypothetical protein,,,,
ACIAD_RS03805,ACIAD0822,gatB,811089,812576,-,,,,,
ACIAD_RS03810,ACIAD0823,gatA,812576,814054,-,,,,,
ACIAD_RS03815,ACIAD0824,gatC,814107,814418,-,,,,,
ACIAD_RS03820,ACIAD0825,,814552,815589,+,Rod shape-determining protein MreB; Rod shape-determining protein,,,,
ACIAD_RS03825,ACIAD0826,mreC,815608,816465,+,Rod shape-determining protein MreC,,,,
ACIAD_RS03830,ACIAD0828,mreD,816452,816943,+,Rod shape-determining protein MreD,,,,
ACIAD_RS03835,ACIAD0829,,816931,817497,+,Septum formation protein Maf; Maf-like protein,Bacterial cell division related cluster 2,,"Cell Cycle, Cell Division and Death",Cellular Processes
ACIAD_RS03840,ACIAD0830,rng,817537,818991,+,Ribonuclease G,"RNA processing and degradation, bacterial",RNA processing and modification,RNA Processing,RNA Processing
ACIAD_RS16970,ACIAD0831,,819128,819301,+,hypothetical protein,,,,
ACIAD_RS03845,ACIAD0832,,819360,820736,-,Wax ester synthase/acyl-CoA:diacylglycerol acyltransferase,Delta(6)-desaturase containing cluster,Unsaturated fatty acids,"Fatty Acids, Lipids, and Isoprenoids",
ACIAD_RS03850,ACIAD0833,,820908,821642,-,Adenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.10),Cysteine synthesis,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives,Metabolism
ACIAD_RS03855,ACIAD0834,thrH,821840,822457,+,,,,,
ACIAD_RS03860,ACIAD0835,,822510,823976,-,Outer membrane protein E,,,,
ACIAD_RS03865,ACIAD0837,,824367,825278,-,tRNA-dihydrouridine(16) synthase,Murein hydrolase regulation and cell death; Dihydrouridine,Programmed Cell Death and Toxin-antitoxin Systems; RNA processing and modification,"Cell Cycle, Cell Division and Death; RNA Processing",Cellular Processes; RNA Processing
ACIAD_RS03870,ACIAD0838,ccsA,825453,826262,-,Inner membrane protein YpjD,,,,
ACIAD_RS03875,ACIAD0839,ffh,826408,827820,+,Signal recognition particle protein Ffh,Universal GTPases; Bacterial protein translocation system; Two cell division clusters relating to chromosome partitioning,"Protein targeting, sorting, translocation; ","Protein Synthesis; Protein Fate (folding, modification, targeting, degradation); Cell Cycle, Cell Division and Death",Protein Processing; Protein Processing; Cellular Processes
ACIAD_RS03880,ACIAD0840,,827888,828619,-,"Pantothenate kinase (EC 2.7.1.33); Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)",Coenzyme A -- gjo; Coenzyme A Biosynthesis cluster,Coenzyme A; Coenzyme A,"Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups",Metabolism; Metabolism
ACIAD_RS03885,ACIAD0841,,828626,829387,-,Biotin--protein ligase (EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15) (EC 6.3.4.9); biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15 ),Biotin synthesis cluster; Biotin synthesis -- gjo; Biotin biosynthesis; Biotin synthesis & utilization,Biotin; Biotin; Biotin; Biotin,"Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups",Metabolism; Metabolism; Metabolism; Metabolism
ACIAD_RS03890,ACIAD0842,,829418,830221,+,Uncharacterized UPF0721 integral membrane protein,,,,
ACIAD_RS03895,ACIAD0844,,830419,831126,+,"Transcriptional regulator, GntR family",,,,
ACIAD_RS03900,ACIAD0846,smc,831224,834673,+,Chromosome partition protein smc,Two cell division clusters relating to chromosome partitioning,,"Cell Cycle, Cell Division and Death",Cellular Processes
ACIAD_RS03905,ACIAD0847,,834675,835652,+,Cell division protein ZipA,,,,
ACIAD_RS03910,ACIAD0848,ligA,835730,837760,+,DNA ligase (NAD(+)) (EC 6.5.1.2),Cluster related to 2-thiouridine modification of tRNAs; DNA Repair Base Excision; NAD consumption,RNA processing and modification; DNA repair; NAD and NADP,"RNA Processing; DNA Processing; Cofactors, Vitamins, Prosthetic Groups",RNA Processing; DNA Processing; Metabolism
ACIAD_RS03915,ACIAD0849,,837903,838958,-,Aldehyde reductase( EC:1.1.1.21 ),,,,
ACIAD_RS03920,ACIAD0850,,839089,839664,+,hypothetical protein,,,,
ACIAD_RS03930,ACIAD0852,bfr,840124,840588,+,Bacterioferritin (EC 1.16.3.1),Bacterioferritin and related proteins; Iron acquisition in Vibrio; Encapsulation of DyP-type peroxidase or ferritin-like protein oligomers,"Protein targeting, sorting, translocation","Stress Response, Defense and Virulence; Iron acquisition and metabolism; Protein Fate (folding, modification, targeting, degradation)","Stress Response, Defense, Virulence; Metabolism; Protein Processing"
ACIAD_RS03935,ACIAD0853,,840822,841574,+,,,,,
ACIAD_RS03940,ACIAD0854,,841642,842217,-,"Thiol peroxidase, Bcp-type (EC 1.11.1.15); Peroxiredoxin",Thioredoxin-disulfide reductase,,Sulfur Metabolism,Metabolism
ACIAD_RS03945,ACIAD0855,,842357,843076,+,Pimeloyl-[acyl-carrier protein] methyl ester esterase BioH (EC 3.1.1.85); hypothetical protein,Biotin synthesis cluster; Biotin synthesis -- gjo; Biotin biosynthesis; Biotin synthesis & utilization,Biotin; Biotin; Biotin; Biotin,"Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups",Metabolism; Metabolism; Metabolism; Metabolism
ACIAD_RS03950,ACIAD0856,bioA,843173,844462,+,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62); adenosylmethionine---8-amino-7-oxononanoate transaminase (EC 2.6.1.62),Biotin synthesis cluster; Biotin synthesis -- gjo; Biotin biosynthesis; Biotin synthesis & utilization,Biotin; Biotin; Biotin; Biotin,"Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups",Metabolism; Metabolism; Metabolism; Metabolism
ACIAD_RS03955,ACIAD0857,,844449,845606,+,8-amino-7-oxononanoate synthase (EC 2.3.1.47),Biotin synthesis cluster; Biotin synthesis -- gjo; Biotin biosynthesis; BactLuciferaseComplex; Biotin synthesis & utilization,Biotin; Biotin; Biotin; ; Biotin,"Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups; Miscellaneous; Cofactors, Vitamins, Prosthetic Groups",Metabolism; Metabolism; Metabolism; Miscellaneous; Metabolism
ACIAD_RS03960,ACIAD0858,bioC,845597,846364,+,Malonyl-[acyl-carrier protein] O-methyltransferase (EC 2.1.1.197),Biotin synthesis cluster; Biotin synthesis -- gjo; Biotin biosynthesis; Biotin synthesis & utilization,Biotin; Biotin; Biotin; Biotin,"Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups",Metabolism; Metabolism; Metabolism; Metabolism
ACIAD_RS03965,ACIAD0859,bioD,846361,847002,+,Dethiobiotin synthase BioD (EC 6.3.3.3),Biotin synthesis cluster; Biotin synthesis -- gjo; Biotin biosynthesis; Biotin synthesis & utilization,Biotin; Biotin; Biotin; Biotin,"Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups",Metabolism; Metabolism; Metabolism; Metabolism
ACIAD_RS03970,ACIAD0860,,847070,848185,-,hypothetical protein,,,,
ACIAD_RS03975,ACIAD0861,rluB,848321,849262,-,LSU rRNA pseudouridine(2605) synthase (EC 5.4.99.22),,,,
ACIAD_RS03980,ACIAD0862,scpB,849304,849894,-,Segregation and condensation protein B,Two cell division clusters relating to chromosome partitioning,,"Cell Cycle, Cell Division and Death",Cellular Processes
ACIAD_RS03985,ACIAD0863,,849891,850682,-,Segregation and condensation protein A,Two cell division clusters relating to chromosome partitioning,,"Cell Cycle, Cell Division and Death",Cellular Processes
ACIAD_RS03990,ACIAD0864,,850965,851669,+,Ribosomal-protein-serine acetyltransferase,,,,
ACIAD_RS03995,ACIAD0865,,851697,852314,-,"Threonylcarbamoyl-AMP synthase (EC 2.7.7.87); YciO protein, TsaC/YrdC paralog",YrdC-YciO-Sua5 and associated protein families; Threonylcarbamoyladenosine,RNA processing and modification; RNA processing and modification,RNA Processing; RNA Processing,RNA Processing; RNA Processing
ACIAD_RS04000,ACIAD0866,,852416,853078,-,Translation elongation factor P Lys34 hydroxylase,"Translation elongation factors, bacterial",Translation,Protein Synthesis,Protein Processing
ACIAD_RS04005,ACIAD0868,,853175,853735,+,,,,,
ACIAD_RS04010,ACIAD0869,rpmF,853807,853992,+,,,,,
ACIAD_RS04015,ACIAD0870,fabD,854146,855132,+,Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39),Malonate decarboxylase; Fatty Acid Biosynthesis cluster; Fatty Acid Biosynthesis FASII; Fatty acid synthesis; Dehydrogenase complexes,Carboxylic acids; Fatty acids; Fatty acids; Fatty acids; Central Metabolism,"Carbohydrates; Fatty Acids, Lipids, and Isoprenoids; Fatty Acids, Lipids, and Isoprenoids; Fatty Acids, Lipids, and Isoprenoids; Energy and Precursor Metabolites Generation",Metabolism; Metabolism; Metabolism; Metabolism; Energy
ACIAD_RS04020,ACIAD0871,fabG,855129,855863,+,,,,,
ACIAD_RS04025,ACIAD0872,acpP,855949,856185,+,Acyl carrier protein,Acyl carrier protein; Fatty Acid Biosynthesis cluster; Fatty Acid Biosynthesis FASII; D-alanylation of teichoic acid; Fatty acid synthesis; Glycerolipid and Glycerophospholipid Metabolism in Bacteria; Phospholipid and Fatty acid biosynthesis related cluster,Fatty acids; Fatty acids; Fatty acids; Gram-Positive (Monoderm) cell wall components; Fatty acids; Phospholipids; Fatty acids,"Fatty Acids, Lipids, and Isoprenoids; Fatty Acids, Lipids, and Isoprenoids; Fatty Acids, Lipids, and Isoprenoids; Cell Envelope, Capsule and Slime layer; Fatty Acids, Lipids, and Isoprenoids; Fatty Acids, Lipids, and Isoprenoids; Fatty Acids, Lipids, and Isoprenoids",Metabolism; Metabolism; Metabolism; Cell Envelope; Metabolism; Metabolism; Metabolism
ACIAD_RS04030,ACIAD0873,lysM,856374,856850,+,Uncharacterized LysM domain protein YgaU,,,,
ACIAD_RS04035,ACIAD0874,,856853,858085,-,,,,,
ACIAD_RS04040,ACIAD0875,,858160,858939,-,Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7),Biosynthesis of thiamin antivitamin Bacimethrin; Fusion events in thiamin biosynthesis genes,Thiamin; Thiamin,"Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups",Metabolism; Metabolism
ACIAD_RS04045,ACIAD0876,,859037,859711,+,Phosphoglycolate phosphatase (EC 3.1.3.18),"Photorespiration (oxidative C2 cycle); Metabolite repair; 2-phosphoglycolate salvage; Glycolate, glyoxylate interconversions",CO2 fixation; ; DNA repair; Central Metabolism,Carbohydrates; Metabolite damage and its repair or mitigation; DNA Processing; Energy and Precursor Metabolites Generation,Metabolism; Metabolism; DNA Processing; Energy
ACIAD_RS04050,ACIAD0877,,859872,860993,+,Acyl transferase; Acyltransferase 3,,,,
ACIAD_RS04055,ACIAD0878,hemJ,861018,861470,-,"Protoporphyrinogen IX oxidase, novel form, HemJ (EC 1.3.-.-)","Heme Biosynthesis: protoporphyrin-, coproporphyrin- and siroheme-dependent pathways; Metal chelatases",Tetrapyrroles; Tetrapyrroles,"Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups",Metabolism; Metabolism
ACIAD_RS04060,ACIAD0879,,861789,863018,-,"3-oxoacyl-[ACP] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)",Phospholipid and Fatty acid biosynthesis related cluster; Fatty Acid Biosynthesis FASII; Fatty acid synthesis,Fatty acids; Fatty acids; Fatty acids,"Fatty Acids, Lipids, and Isoprenoids; Fatty Acids, Lipids, and Isoprenoids; Fatty Acids, Lipids, and Isoprenoids",Metabolism; Metabolism; Metabolism
ACIAD_RS04065,ACIAD0880,,863318,864703,+,,,,,
ACIAD_RS04070,ACIAD0881,rpsL,864888,865262,+,SSU ribosomal protein S12p (S23e),"Antibiotic targets in protein synthesis; Ribosomal protein S12p Asp methylthiotransferase; Ribosome SSU bacterial; Ribosomal proteins, single-copy",Resistance to antibiotics and toxic compounds; Protein processing and modification; Ribosome biogenesis; Ribosome biogenesis,"Stress Response, Defense and Virulence; Protein Fate (folding, modification, targeting, degradation); Protein Synthesis; Protein Synthesis","Stress Response, Defense, Virulence; Protein Processing; Protein Processing; Protein Processing"
ACIAD_RS04075,ACIAD0883,rpsG,865423,865893,+,SSU ribosomal protein S7p (S5e),"Ribosome SSU bacterial; Ribosomal proteins, single-copy",Ribosome biogenesis; Ribosome biogenesis,Protein Synthesis; Protein Synthesis,Protein Processing; Protein Processing
ACIAD_RS04080,ACIAD0884,fusA,866071,868209,+,Translation elongation factor G,"Antibiotic targets in protein synthesis; Universal GTPases; Translation elongation factors, bacterial; Translation elongation factor G family",Resistance to antibiotics and toxic compounds; ; Translation; Translation,"Stress Response, Defense and Virulence; Protein Synthesis; Protein Synthesis; Protein Synthesis","Stress Response, Defense, Virulence; Protein Processing; Protein Processing; Protein Processing"
ACIAD_RS04085,ACIAD0885,tuf,868301,869491,+,Translation elongation factor Tu,"Antibiotic targets in protein synthesis; Universal GTPases; Translation elongation factors, bacterial",Resistance to antibiotics and toxic compounds; ; Translation,"Stress Response, Defense and Virulence; Protein Synthesis; Protein Synthesis","Stress Response, Defense, Virulence; Protein Processing; Protein Processing"
ACIAD_RS04090,ACIAD0886,,869748,870629,+,Metal-dependent hydrolase,,,,
ACIAD_RS04095,ACIAD0887,rimI,870782,871240,+,Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-); [ribosomal protein S18]-alanine N-acetyltransferase (EC 2.3.1.266),Possible RNA modification and stress response cluster; YrdC-YciO-Sua5 and associated protein families,RNA processing and modification; RNA processing and modification,RNA Processing; RNA Processing,RNA Processing; RNA Processing
ACIAD_RS04100,ACIAD0888,,871247,872062,-,Arginyl-tRNA--protein transferase (EC 2.3.2.8); Arginyltransferase( EC:2.3.2.8 ),Protein degradation,Protein degradation,"Protein Fate (folding, modification, targeting, degradation)",Protein Processing
ACIAD_RS04105,ACIAD0889,,872087,872812,-,Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6),Protein degradation,Protein degradation,"Protein Fate (folding, modification, targeting, degradation)",Protein Processing
ACIAD_RS04110,ACIAD0890,trxB,872885,873832,-,Thioredoxin reductase (EC 1.8.1.9); thioredoxin-disulfide reductase (EC 1.8.1.9),Thioredoxin-disulfide reductase; Cell division initiation related cluster,,"Sulfur Metabolism; Cell Cycle, Cell Division and Death",Metabolism; Cellular Processes
ACIAD_RS04115,ACIAD0891,,874099,877155,+,DNA translocase FtsK,Replication-associated recombination protein RarA,DNA recombination,DNA Processing,DNA Processing
ACIAD_RS04120,ACIAD0892,,877202,877489,-,hypothetical protein,,,,
ACIAD_RS04125,ACIAD0893,minE,877735,878007,-,Cell division topological specificity factor MinE,,,,
ACIAD_RS04130,ACIAD0894,minD,878010,878822,-,Septum site-determining protein MinD,,,,
ACIAD_RS04135,ACIAD0895,minC,878889,879584,-,septum site-determining protein MinC,,,,
ACIAD_RS04140,ACIAD0896,,879735,880781,-,hypothetical protein; putative membrane protein,,,,
ACIAD_RS04145,ACIAD0897,,880798,881724,-,Acyl transferase; Probable acyltransferase PA0834,,,,
ACIAD_RS04150,ACIAD0898,,881975,882628,+,"OmpA family protein; Outer membrane porin, OmpA family",,,,
ACIAD_RS04155,ACIAD0900,,882754,884793,+,ATP-dependent DNA helicase rep (EC 3.6.1.-),"DNA repair, bacterial UvrD and related helicases",DNA repair,DNA Processing,DNA Processing
ACIAD_RS04160,ACIAD0901,dut,884818,885270,+,Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23); dUTP diphosphatase (EC 3.6.1.23),Nucleotide phosphorylation; Nudix proteins (nucleoside triphosphate hydrolases); Metabolite repair,,Nucleosides and Nucleotides; Metabolite damage and its repair or mitigation; Metabolite damage and its repair or mitigation,Metabolism; Metabolism; Metabolism
ACIAD_RS04165,ACIAD0902,,885462,886886,+,,,,,
ACIAD_RS04170,ACIAD0903,argB,886897,887808,+,Acetylglutamate kinase (EC 2.7.2.8); N-acetylglutamate kinase (EC 2.7.2.8),Proline biosynthesis (for review); Arginine biosynthesis via N-acetyl-L-citrulline,"Proline and 4-hydroxyproline; Arginine; urea cycle, creatine, polyamines",Amino Acids and Derivatives; Amino Acids and Derivatives,Metabolism; Metabolism
ACIAD_RS04175,ACIAD0904,,887935,888714,+,,,,,
ACIAD_RS04180,ACIAD0905,,888822,889670,+,Putative glutamine amidotransferase YafJ,,,,
ACIAD_RS04185,ACIAD0907,,889769,890854,+,hypothetical protein,,,,
ACIAD_RS04190,ACIAD0908,,890851,891162,+,,,,,
ACIAD_RS04195,ACIAD0909,,891218,891616,-,Outer membrane beta-barrel assembly protein BamE,beta-Barrel Assembly Machinery,,Miscellaneous,Miscellaneous
ACIAD_RS04200,ACIAD0910,fur,891728,892168,+,Ferric uptake regulation protein FUR,Iron acquisition in Vibrio,,Iron acquisition and metabolism,Metabolism
ACIAD_RS04205,ACIAD0911,,892214,893365,-,Type IV pilus assembly ATPase component PilU,,,,
ACIAD_RS04210,ACIAD0912,,893402,894436,-,Twitching motility protein PilT,Heat shock dnaK gene cluster extended; Type IV pilus,"Stress Response: Heat/cold shock; Protein and nucleoprotein secretion system, Type IV","Stress Response, Defense and Virulence; Membrane Transport","Stress Response, Defense, Virulence; Membrane Transport"
ACIAD_RS04215,ACIAD0913,,894561,895250,+,,,,,
ACIAD_RS04220,ACIAD0914,,895387,896244,+,Undecaprenyl-diphosphatase (EC 3.6.1.27),Gram-negative cluster; Undecaprenyl-diphosphatases,Gram-Negative (Diderm) cell wall components; Peptidoglycan (Bacteria) or other polymers (Archaea),"Cell Envelope, Capsule and Slime layer; Cell Envelope, Capsule and Slime layer",Cell Envelope; Cell Envelope
ACIAD_RS04225,ACIAD0915,,896340,897125,-,Transglutaminase-like; transglutaminase family protein,,,,
ACIAD_RS04230,ACIAD0916,,897336,900932,-,Exonuclease sbcC (EC 3.1.11.-),"Bacillus subtilis spore coat; DNA repair, bacterial SbcCD exonuclease",Sporulation; DNA repair,Prokaryotic cell type differentiation; DNA Processing,Cellular Processes; DNA Processing
ACIAD_RS04235,ACIAD0917,,900942,902192,-,Exonuclease SbcD,"DNA repair, bacterial SbcCD exonuclease",DNA repair,DNA Processing,DNA Processing
ACIAD_RS04240,ACIAD0918,,902316,902789,+,OsmC family protein; OsmC/Ohr family protein,,,,
ACIAD_RS04245,ACIAD0919,,902868,903437,-,hypothetical protein,,,,
ACIAD_RS04250,ACIAD0920,,903802,904248,+,hypothetical protein,,,,
ACIAD_RS04255,ACIAD0921,,904315,905226,+,Cell division inhibitor SulA,Cell division cluster,,"Cell Cycle, Cell Division and Death",Cellular Processes
ACIAD_RS04260,ACIAD0922,,905229,906344,-,Glycine oxidase ThiO (EC 1.4.3.19),Fusion events in thiamin biosynthesis genes,Thiamin,"Cofactors, Vitamins, Prosthetic Groups",Metabolism
ACIAD_RS04265,ACIAD0923,hemB,906369,907382,-,Porphobilinogen synthase (EC 4.2.1.24),"Heme Biosynthesis: protoporphyrin-, coproporphyrin- and siroheme-dependent pathways; Metal chelatases",Tetrapyrroles; Tetrapyrroles,"Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups",Metabolism; Metabolism
ACIAD_RS04270,ACIAD0924,,907492,907989,+,"Thioesterase family protein; putative protein PaaI, possibly involved in aromatic compounds catabolism",,,,
ACIAD_RS04275,ACIAD0926,,908317,909453,+,"Multidrug efflux system EmrAB-OMF, membrane fusion component EmrA",Tripartite multidrug efflux systems (of MFS type) EmrKY-TolC and EmrAB-TolC,Multidrug efflux systems,Membrane Transport,Membrane Transport
ACIAD_RS04280,ACIAD0927,,909460,911007,+,"Multidrug efflux system EmrAB-OMF, inner-membrane proton/drug antiporter EmrB (MFS type)",Tripartite multidrug efflux systems (of MFS type) EmrKY-TolC and EmrAB-TolC,Multidrug efflux systems,Membrane Transport,Membrane Transport
ACIAD_RS04285,ACIAD0929,,911211,913172,+,,,,,
ACIAD_RS04290,ACIAD0930,glpK,913230,914717,-,Glycerol kinase (EC 2.7.1.30),Glycerol utilization cluster; Glycerol ABC transporter; Glycerolipid and Glycerophospholipid Metabolism in Bacteria,Sugar alcohols; ABC transporters; Phospholipids,"Carbohydrates; Membrane Transport; Fatty Acids, Lipids, and Isoprenoids",Metabolism; Membrane Transport; Metabolism
ACIAD_RS16685,,,914849,915208,,,,,,
ACIAD_RS04295,ACIAD0931,,915460,916092,-,DoxX family protein; FIG035246: DoxX family protein,,,,
ACIAD_RS04300,ACIAD0932,,916256,916531,+,hypothetical protein,,,,
ACIAD_RS04305,ACIAD0933,,916604,917467,+,,,,,
ACIAD_RS04310,ACIAD0934,,917418,918176,+,,,,,
ACIAD_RS04315,ACIAD0935,,918173,918793,+,RNA polymerase ECF-type sigma factor,Cell division initiation related cluster,,"Cell Cycle, Cell Division and Death",Cellular Processes
ACIAD_RS04320,ACIAD0936,,918763,918966,+,,,,,
ACIAD_RS04325,ACIAD0937,,919314,919973,-,Integral membrane protein,,,,
ACIAD_RS04335,ACIAD0939,,921123,922922,+,Channel-forming transporter/cytolysins activator of TpsB family,Two partner secretion pathway (TPS),Protein secretion system,Membrane Transport,Membrane Transport
ACIAD_RS04340,ACIAD0940,,923008,934143,+,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family,Two partner secretion pathway (TPS),Protein secretion system,Membrane Transport,Membrane Transport
ACIAD_RS04345,ACIAD0941,,934145,934615,+,hypothetical protein,,,,
ACIAD_RS04350,ACIAD0942,,934985,935446,+,hypothetical protein,,,,
ACIAD_RS04355,ACIAD0943,,935536,937062,+,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family; hypothetical protein,Two partner secretion pathway (TPS),Protein secretion system,Membrane Transport,Membrane Transport
ACIAD_RS04360,ACIAD0944,,937071,937502,+,hypothetical protein,,,,
ACIAD_RS04365,ACIAD0945,,937502,937765,+,hypothetical protein,,,,
ACIAD_RS04370,ACIAD0946,,937826,938071,+,hypothetical protein,,,,
ACIAD_RS04375,ACIAD0947,,938068,938910,+,,,,,
ACIAD_RS04380,ACIAD0948,,938996,940396,+,Hemolysin,,,,
ACIAD_RS04385,ACIAD0949,,940402,940773,+,hypothetical protein,,,,
ACIAD_RS16975,ACIAD0951,,940911,941063,+,hypothetical protein,,,,
ACIAD_RS04390,ACIAD0952,,941311,942470,-,Transposase,,,,
ACIAD_RS04400,ACIAD0955,,942722,943267,+,hypothetical protein,,,,
ACIAD_RS04405,ACIAD0956,,943379,943624,-,hypothetical protein,,,,
ACIAD_RS04410,ACIAD0957,,943626,944785,-,Transposase,,,,
ACIAD_RS04420,ACIAD0959,,944858,945619,-,,,,,
ACIAD_RS04425,ACIAD0960,,946208,947596,+,,,,,
ACIAD_RS04430,ACIAD0961,,947697,948011,-,hypothetical protein,,,,
